year;annualtemp
1887;-7.34
1888;-6.88
1889;-7.09
1890;-6.93
1891;-6.75
1892;-6.45
1893;-6.75
1894;-6.32
1895;-6.71
1896;-6.78
1897;-6.1
1898;-5.62
1899;-5.99
1900;-5.77
1901;-7.05
1902;-6.21
1903;-6.16
1904;-5.82
1905;-6.68
1906;-6.34
1907;-6.73
1908;-7.14
1909;-7.77
1910;-6.95
1911;-5.9
1912;-6.96
1913;-6.48
1914;-6.32
1915;-7.05
1916;-6.2
1917;-6.71
1918;-6.06
1919;-7.54
1920;-4.7
1921;-5.16
1922;-6.59
1923;-6.18
1924;-6.06
1925;-6.57
1926;-5.78
1927;-5.75
1928;-5.79
1929;-6.25
1930;-5.37
1931;-6.58
1932;-5.49
1933;-6.9
1934;-5.21
1935;-6.63
1936;-5.81
1937;-6.04
1938;-5.95
1939;-6.1
1940;-6.93
1941;-6.8
1942;-5.84
1943;-5.26
1944;-6.63
1945;-5.79
1946;-5.42
1947;-5.26
1948;-4.94
1949;-5.32
1950;-5.16
1951;-5.29
1952;-6.48
1953;-5.13
1954;-6.42
1955;-6.45
1956;-7
1957;-5.3
1958;-5.58
1959;-5.35
1960;-6.24
1961;-4.96
1962;-6.91
1963;-6.1
1964;-5.38
1965;-6.8
1966;-6.06
1967;-5.6
1968;-6.12
1969;-5.95
1970;-6.36
1971;-5.37
1972;-5.56
1973;-5.89
1974;-5.98
1975;-4.91
1976;-6.17
1977;-5.22
1978;-5.82
1979;-5.66
1980;-6.23
1981;-6.16
1982;-4.87
1983;-4.63
1984;-6.16
1985;-5.56
1986;-5.12
1987;-5.54
1988;-5.33
1989;-4.36
1990;-4.79
1991;-5.31
1992;-4.33
1993;-4.98
1994;-4.18
1995;-5.39
1996;-5.77
1997;-4.9
1998;-4.89
1999;-4.4
2000;-4.25
2001;-5.16
2002;-4.03
2003;-4.43
2004;-5.04
2005;-5.43
2006;-4.3
2007;-4.28
2008;-4.53
2009;-4.59
2010;-5.37
2011;-3.46
2012;-4.13
2013;-4.32
2014;-3.78
2015;-3.54
2016;-3.98
2017;-4.34
2018;-3.64
2019;-3.74
2020;-3.26
